"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-09-18 ~ 2024-09-17"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","인천광역시 부평구 산곡동","222","0222","0000","한신휴","84.9790","202409","13","37,000","-","5","개인","개인","2003","마장로220번길 13","-","중개거래","인천 부평구","-"
"2","인천광역시 부평구 부평동","756-421","0756","0421","신성미소지움아파트(101~106동)","59.8040","202409","13","28,000","-","14","개인","개인","2005","경인로 858","-","중개거래","인천 부평구","-"
"3","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","39.5000","202409","11","29,000","-","11","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"4","인천광역시 부평구 산곡동","142-3","0142","0003","경남1차","84.4300","202409","11","29,600","-","1","개인","개인","1990","안남로222번길 27","-","중개거래","인천 부평구","-"
"5","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","84.7200","202409","10","60,700","-","9","개인","개인","1995","부흥로 246","-","중개거래","인천 부평구","-"
"6","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202409","10","35,000","-","1","개인","개인","1995","부흥로 246","-","중개거래","인천 부평구","-"
"7","인천광역시 부평구 산곡동","534","0534","0000","부평두산위브더파크","74.8559","202409","09","56,000","-","11","개인","개인","2022","마곡로 14","-","중개거래","인천 부평구","-"
"8","인천광역시 부평구 삼산동","388-7","0388","0007","삼산주공미래타운2차","49.4000","202409","09","19,000","202","19","개인","개인","2000","부평북로 432","-","직거래","-","24.09.10"
"9","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202409","09","41,600","-","2","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"10","인천광역시 부평구 부개동","499-2","0499","0002","푸른마을한신,삼부","134.9650","202409","09","59,000","-","14","개인","개인","1999","부개로 58","-","중개거래","인천 부평구","-"
"11","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202409","09","32,300","-","2","개인","개인","1998","부개로 11","-","중개거래","인천 부평구","-"
"12","인천광역시 부평구 부개동","496-2","0496","0002","부개주공1","49.9600","202409","09","30,000","-","16","개인","개인","1996","길주남로 143","-","중개거래","인천 부평구","-"
"13","인천광역시 부평구 일신동","410","0410","0000","일신주공아파트(100~112동)","59.9800","202409","09","22,800","-","10","개인","개인","1995","경인로1118번길 67","-","중개거래","인천 부평구","-"
"14","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","50.1550","202409","09","22,800","-","2","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"15","인천광역시 부평구 산곡동","261-8","0261","0008","경남5차","84.9700","202409","09","29,700","-","18","개인","개인","1992","마장로264번길 66","-","중개거래","인천 부평구","-"
"16","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","59.9376","202409","08","38,000","-","21","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"17","인천광역시 부평구 십정동","182-95","0182","0095","대주파크빌","84.5030","202409","08","28,000","-","1","개인","개인","2001","마장로 49","-","중개거래","인천 부평구","-"
"18","인천광역시 부평구 산곡동","179-69","0179","0069","현대(179-69)","84.9850","202409","07","30,000","-","18","개인","개인","2001","원적로269번길 55-5","-","중개거래","인천 부평구","-"
"19","인천광역시 부평구 부평동","65-115","0065","0115","대우","84.4370","202409","07","44,000","-","21","개인","개인","1998","부흥로243번길 7","-","중개거래","인천 부평구","-"
"20","인천광역시 부평구 삼산동","205","0205","0000","정광","43.7100","202409","07","12,000","-","4","개인","개인","1989","후정동로 17","-","직거래","-","-"
"21","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","34.2970","202409","07","29,100","-","8","개인","개인","2020","동수천로 117","-","중개거래","인천 부평구","-"
"22","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","59.8530","202409","07","53,000","-","17","개인","개인","2020","동수천로 117","-","중개거래","인천 부평구","-"
"23","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9800","202409","07","28,300","-","4","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"24","인천광역시 부평구 부개동","496-2","0496","0002","부개주공1","49.9600","202409","07","29,700","-","19","개인","개인","1996","길주남로 143","-","중개거래","인천 부평구","-"
"25","인천광역시 부평구 산곡동","294-35","0294","0035","우성3차(294-35)","135.5500","202409","07","51,000","-","9","개인","개인","1990","부영로 165","-","중개거래","인천 부평구","-"
"26","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","49.9600","202409","06","20,800","-","1","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"27","인천광역시 부평구 십정동","607","0607","0000","동암신동아","59.8000","202409","06","26,300","-","4","개인","개인","2000","아트센터로 118","-","중개거래","인천 부평구","-"
"28","인천광역시 부평구 부개동","308-5","0308","0005","현대","59.3100","202409","06","24,400","-","15","개인","개인","1993","경인로1083번길 32","-","중개거래","인천 부평구","-"
"29","인천광역시 부평구 산곡동","294-35","0294","0035","우성3차(294-35)","84.9700","202409","06","39,000","-","5","개인","개인","1990","부영로 165","-","중개거래","인천 부평구","-"
"30","인천광역시 부평구 삼산동","60-6","0060","0006","태산","56.9300","202409","06","16,000","1","6","개인","개인","1989","후정동로 50","-","직거래","-","24.09.06"
"31","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","51.8600","202409","06","37,500","-","14","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"32","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","51.8600","202409","06","38,000","-","11","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"33","인천광역시 부평구 갈산동","171","0171","0000","부평지웰에스테이트","74.9700","202409","05","45,500","-","4","개인","개인","2021","주부토로249번길 17","-","중개거래","인천 부평구","-"
"34","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","84.9500","202409","05","40,000","-","6","개인","개인","1999","원적로 361","-","중개거래","인천 부평구","-"
"35","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","50.1550","202409","05","23,000","-","7","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"36","인천광역시 부평구 삼산동","359","0359","0000","광명12차","47.2600","202409","05","13,500","-","5","개인","개인","1990","후정동로 63","-","직거래","-","-"
"37","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202409","04","47,500","-","6","개인","개인","1997","부개로 12","-","중개거래","경기 부천시 원미구, 인천 부평구","-"
"38","인천광역시 부평구 부평동","756-421","0756","0421","신성미소지움아파트(101~106동)","59.8040","202409","04","28,000","-","14","개인","개인","2005","경인로 858","20240913","중개거래","인천 부평구","-"
"39","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","84.9980","202409","04","39,400","-","11","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"40","인천광역시 부평구 십정동","617","0617","0000","브라운스톤백운","84.9324","202409","04","41,000","-","7","개인","개인","2014","마장로 43-20","-","중개거래","인천 부평구","-"
"41","인천광역시 부평구 산곡동","137-3","0137","0003","한신(137-3)","41.3000","202409","04","16,000","-","8","개인","개인","1985","원적로416번길 20","-","중개거래","인천 부평구","-"
"42","인천광역시 부평구 산곡동","91-2","0091","0002","부평IPARK","69.2800","202409","03","59,000","-","40","개인","개인","2020","길주로364번길 9","-","중개거래","인천 부평구","-"
"43","인천광역시 부평구 삼산동","191","0191","0000","대보","56.3400","202409","03","19,000","-","1","개인","개인","1985","후정동로 5","-","중개거래","인천 부평구","-"
"44","인천광역시 부평구 삼산동","170-1","0170","0001","삼산벽산블루밍","84.3175","202409","03","44,400","-","15","개인","개인","2005","후정동로 12","-","중개거래","인천 부평구","-"
"45","인천광역시 부평구 부평동","415-8","0415","0008","인스테이션","23.7800","202409","03","8,250","-","15","개인","개인","2012","주부토로 48","-","중개거래","인천 부평구","24.09.09"
"46","인천광역시 부평구 부평동","70-78","0070","0078","창보","59.9000","202409","03","24,500","-","12","개인","개인","1999","부영로166번길 16","-","중개거래","인천 부평구","-"
"47","인천광역시 부평구 부개동","499-2","0499","0002","푸른마을한신,삼부","99.8600","202409","03","61,000","-","6","개인","개인","1999","부개로 58","-","중개거래","인천 부평구","-"
